date,reported_by,description,incident_type,severity,status
9/30/2017,,"U.S. government officials told the Washington Post that the United States had launched a denial of service campaign against North Korea's Reconnaissance General Bureau, the country's intelligence agency.",Denial of service,Low,Open
2/17/2017,,A threat actor launched a distributed denial of service attack against government of Montenegro websites.,Denial of service,Critical,Resolved
2/28/2017,,"A threat actor compromised an internet-facing computer network in the Ministry of Defense of Singapore, compromising the personal data of approximately 850 servicemen and employees.",Espionage,High,Open
3/4/2017,,"A threat actor, believed to be the United States, targeted computer networks and electronic components associated with the North Korean nuclear program to sabotage and slow its development.",Sabotage,High,Investigating
3/30/2017,,A threat actor targeted the presidential campaign of U.S. Senator Marco Rubio.,Espionage,Medium,Investigating
4/10/2017,Also known as the Lamberts,"This threat actor compromises governments, international organizations, academic institutions, and financial, telecommunications, energy, aerospace, information technology, and natural resource  industries for espionage purposes. Some of the tools used by this threat actor were released by Wikileaks under the name ""Vault 7.""",Espionage,HIgh,Resolved
6/6/2017,Believed to be the work of APT 28,A threat actor targeted officials from Montenegro for the purpose of espionage. The phishing campaign came during the country’s accession to NATO.,Espionage,Critical,Resolved
4/23/2017,Believed to be the work of APT 28,"A threat actor compromised an email service maintained by the Danish Ministry of Defense, and is also believed to have compromised Ministry of Foreign Affairs networks.",Espionage,High,Investigating
4/26/2017,Believed to be the work of APT 28,A threat actor targeted the campaign of French presidential candidate Emmanuel Macron. The U.S. National Security Agency has confirmed that it believes Russia was responsible.,Espionage,Low,Investigating
2/15/2017,Also known as Cobalt Gypsy and possibly associated with Rocket Kitten,"This threat actor targets entities in the government, energy, and technology sectors that are located in or do business with Saudi Arabia.",Espionage,Critical,Open
8/30/2017,Associated with Turla,This threat actor targets defense contractors and diplomatic institutions for the purpose of espionage.,Espionage,High,Resolved
2/10/2017,,A threat actor compromised the Italian Ministry of Foreign Affairs’ computer networks.,Espionage,High,Open
2/17/2017,,"This threat actor targets critical infrastructure entities in the oil and gas sector, primarily in Ukraine. The threat actors deploy the BugDrop malware to remotely access the microphones in their targets' computers to eavesdrop on conversations.",Espionage,Medium,Investigating
6/30/2017,,"A threat actor targeted employees of companies that operate nuclear power plants in the United States, which prompted the Department of Homeland Security and the FBI to issue an alert to the industry. An administrative network of the Wolf Creek Nuclear Operating Corporation was compromised.",Espionage,HIgh,Investigating
6/26/2016,Believed to be the work of APT 28,"A threat actor conducted a spear-phishing campaign against more than 1,800 Google accounts, including those of military and government personnel, journalists, and nongovernmental organizations, for the purpose of espionage.",Espionage,Critical,Resolved
2/1/2016,"Believed to be responsible for Dark Seoul, Ten Days of Rain, the Sony Pictures Entertainment attack, the SWIFT-related bank heists, WannaCry, and Operation GhostSecret. Believed to use the same tools as Covellite. Known to the U.S. government as Hidden Cobra.","This threat actor targets and compromises entities primarily in South Korea and South Korean interests for espionage, disruption, and destruction. It has also been known to conduct cyber operations for financial gain, including targeting cryptocurrency exchanges. In 2018, the U.S. Department of Homeland Security issued a malware analysis report on a tool called Typeframe used by the Lazarus Group.

In September 2018, the U.S. Department of Justice criminally charged and sanctioned Park Jin-hyok and Chosun Expo Joint Venture, alleged members of this threat actor.",Espionage,High,Resolved
12/1/2016,Believed to have been partially the work of Chrysene,A threat actor used malware known as Shamoon 2.0 to exfiltrate and delete data from computers in the Saudi transportation sector.,Data destruction,Low,Investigating
5/26/2016,Believed to be the work of Lazarus Group,"A threat actor targets the worldwide financial transfer mechanism known as SWIFT to steal funds from banks in Bangladesh, Vietnam, Ecuador, and Poland. This is the first instance in where a state-sponsored actor was discovered to have compromised networks for financial gain.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.",Financial Theft,Critical,Investigating
12/6/2016,,"A threat actor compromised computers associated with the South Korean Ministry of National Defense. In October 2017, South Korean officials confirmed that North Korea had exfiltrated over two hundred gigabytes of data from the defense ministry networks, including military plans the United States and South Korea would implement in the event of a war with North Korea.",Espionage,High,Open
3/19/2016,,"A threat actor launched a denial of service attack on ten news websites in Sweden, triggering a local police investigation. U.S. diplomatic cables later revealed that the United States suspected that Russia was responsible for the incident.",Denial of service,High,Resolved
12/13/2016,Believed to be the work of Sandworm.,A threat actor compromised Ukrainian banks.,Data destruction,Medium,Open
5/29/2016,,"This threat actor targets civil society groups and Emirati journalists, activists, and dissidents.",Espionage,HIgh,Investigating
6/14/2016,This incident is believed to be the work of APT 28. The Dukes were also found to be in the Democratic National Committee's networks.,"In June 2016, suspected Russian threat actors were discovered in the networks of the U.S. Democratic National Committee (DNC). Intruders gained access to its research on Republican presidential candidate Donald J. Trump and emails and correspondences among DNC officials. Over the course of the presidential campaign, the threat actors released DNC correspondence through intermediaries such as WikiLeaks, revealing information about infighting among top party officials and leading to the resignation of the DNC chair. The threat actors also went after John Podesta, chairman of Hillary Clinton’s campaign, and released more embarrassing data throughout the summer.

The secretary of homeland security and the director of national intelligence released a joint statement asserting that the protracted cyber espionage campaign was the work of Russian actors. The Barack Obama administration subsequently sanctioned Russian intelligence officials and deported suspected officers working in the United States. The DNC compromise is believed to be part of a larger Russian espionage campaign waged for the purpose of manipulating the electoral systems in Western democracies and undermining faith in the democratic process in the United States, France, Germany, and elsewhere.

In July 2018, the U.S. Department of Justice indicted twelve officials of the Russian military intelligence agency, known as GRU, believed to have been responsible for this incident.

 

In October 2018, the UK government announced that the compromise was the work of Russian military intelligence.",Espionage,Critical,Investigating
1/5/2016,"Also known as Twisted Kitten and Crambus; possibly related to Magic Hound, APT 34, and Chrysene. Believed to use similar tools and infrastructure as Chafer","A threat actor believed to be Iran that targets private-sector and government entities for the purpose of espionage. In October 2019, revealed to have been compromised by Turla. Some operations previously attributed to the group may be Turla false flags.",Espionage,High,Resolved
2/28/2016,"Believed to be associated with the United Kingdom’s cyber operations against the Islamic State, revealed in 2018.","The United States announced that it would conduct offensive cyber operations against the Islamic State with a view to disrupting its ability to recruit, communicate with, and exercise command and control over its fighters.",Sabotage,Low,Resolved
12/20/2016,Used an evolution of the tools used by Sandworm.,"A threat actor compromised computer networks that control an electricity substation in the north of the Ukrainian capital, Kiev, causing a power outage. To accomplish its task, the threat actor used a tool known as CrashOverride. ",Sabotage,Critical,Investigating
9/13/2016,Believed to be the work of APT 28,"The World Anti-Doping Agency (WADA) confirmed in September 2016 that it had been compromised by suspected Russian threat actors in a data leak of confidential information about forty-one athletes who competed in the Rio Olympic Games. The data revealed drug-test results and medical data pertaining to “therapeutic use exemptions,” situations in which WADA allows athletes to take banned substances if their usage is deemed legitimate.

A group using the Fancy Bear moniker, the same term some security experts assign to a Russian state-sponsored threat actor, claimed responsibility for the compromise. Some commentators viewed the incident as Russian retaliation for a WADA report that detailed Moscow-sanctioned efforts to provide performance-enhancing drugs to Russian athletes during the 2014 Sochi Winter Olympics.

The United States, Australia, Canada, New Zealand, and the United Kingdom issued statements attributing the incident to Russian military intelligence. Separately, the United States issued an indictment against seven alleged Russian military intelligence officials involved in the incident.",Espionage,High,Investigating
10/18/2016,Believed to be the work of Winnti Umbrella,"A threat actor uses a tool called PassCV to target video game companies, stealing digital certificates to use in cyber operations against other targets.",Espionage,High,Open
1/23/2016,Indonesia,"A threat actor used FinFisher, also known as FinSpy, to infect mobile phones and computers and place targets under surveillance. The threat actor, allegedly the Indonesian government, used a proxy server inside the Global Switch Sydney East data center in Ultimo, Australia, to obscure their identity.",Espionage,Medium,Resolved
9/22/2016,Same state sponsor as the 2016 breach,"A threat actor compromised over approximately five hundred million accounts, giving it access to the names, email addresses, telephone numbers, and dates of birth associated with the accounts. Yahoo discloses that the compromise took place in 2014.",Espionage,HIgh,Open
11/9/2016,Believed to be the work of the Dukes,A threat actor attempted to compromise the networks of U.S. think tanks associated with international affairs and national security. The attempts occurred shortly after the U.S. election in 2016.,Espionage,Critical,Investigating
4/13/2016,,"This threat actor compromises civil society groups the Chinese Communist Party views as hostile to its interests, such as Tibetan, Uyghur, Hong Kong, and Taiwanese activist. The threat actor also targeted the Myanmar electoral commission.",Espionage,High,Investigating
5/2/2016,,"This threat actor targets governments and businesses of multiple countries, including the United States, Israel, and Denmark.",Espionage,Low,Resolved
1/12/2016,,A threat actor compromised Burmese websites in an attempt to compromise visitors to those websites for espionage purposes.,Espionage,Critical,Resolved
12/2/2016,,Russian authorities warned that a foreign intelligence agency was seeking to compromise its banking sector.,Data destruction,High,Investigating
5/20/2016,Possibly linked to Icefog and the Dark Seoul compromise,"This threat actor targets the South Korean government, transportation, and energy sectors.",Espionage,High,Investigating
6/15/2016,,"This threat actor compromises government and critical infrastructure entities, primarily in Myanmar, for espionage purposes.",Espionage,Medium,Open
5/23/2016,Believed to be the work of the Turla group,A threat actor compromised a Swiss defense contractor.,Espionage,HIgh,Resolved
7/7/2016,,This threat actor is based in the Middle East (possibly Iran) and targets English- and Persian-language organizations. It is alleged to be the same group behind a compromise of the Danish Ministry of Foreign Affairs.,Espionage,Critical,Open
12/14/2016,Same state sponsor as the 2014 breach,"A threat actor exploited a vulnerability in Yahoo's account log-in process, allowing it to access user accounts without a password. Approximately thirty-two million accounts were affected.",Espionage,High,Investigating
7/8/2016,Also known as Strider,"This threat actor compromises targets in the Military, telecommunications, and financial sectors in Belgium, China, Iran, Russia, Sweden, and elsewhere.",Espionage,Low,Investigating
7/12/2016,,"A threat actor targeted the Department of Justice of the Philippines, the Asia-Pacific Economic Cooperation (APEC), and a major international law firm representing one of the parties in the dispute over the Scarborough Shoal.",Espionage,Critical,Resolved
7/21/2016,,This threat actor targets government and military organizations in Egypt and Israel for espionage purposes.,Espionage,High,Resolved
8/1/2016,,"Threat actors targeted the email accounts of South Korean diplomats, journalists, and security officials.",Espionage,High,Investigating
12/22/2016,Believed to be the work of APT 28,A threat actor compromised a mobile app that Ukrainian artillery units used to assist with targeting. The compromise of the app is believed to have allowed the threat actor to monitor the movements of Ukrainian units in order to facilitate military targeting by Russian-backed rebels in eastern Ukraine.,Espionage,Medium,Investigating
12/16/2016,,"This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors.",Espionage,HIgh,Open
8/2/2016,,Threat actors targeted lawyers and exiled Kazakh dissidents for the purpose of espionage.,Espionage,Critical,Resolved
5/29/2015,Believed to be the work of APT 28,"A threat actor compromised the networks of the German parliament for the purpose of espionage. In May 2020, Germany’s federal prosecutor issued an arrest warrant against Russian citizen Dmitry Badin, who is believed to be a member of Russia’s elite hacking unit, APT 28. Afterward, Germany asked European Union governments to impose the bloc’s first cyber sanctions on Badin.",Espionage,High,Open
12/23/2015,Possible link to Sandworm.,"In December 2015, a threat actor compromised power distribution companies in western Ukraine, causing a power outage for more than 230,000 residents. Several control centers were targeted by suspected Russian hackers, who were able to siphon operator credentials and gain access to the power grid for the Ivano-Frankivsk region. The power outage lasted as long as six hours in some areas. During the outage, threat actors also flooded customer services phone lines with calls to prevent customers from reporting the incident.

The compromise of the Ukrainian power grid was an escalation from previous disruptive incidents and the first confirmed cyber operation to successfully take down energy infrastructure. The incident set an ominous precedent for the security of power grids around the world. The electricity distribution system in Ukraine was again targeted in 2016.",Sabotage,Low,Investigating
4/12/2015,"Also known as Naikon, PLA Unit 78020, Lotus Panda. Possibly responsible for the JadeRAT tool. ",This threat actor uses spear-phishing techniques to target government and private sector agencies in the South China Sea region.,Espionage,Critical,Investigating
2/6/2015,Believed to be the work of Deep Panda,"A threat actor compromised a U.S. health insurance company, resulting in compromised personal data on eighty million customers.",Espionage,High,Resolved
5/31/2015,Also known as APT 32,"This threat actor, known to use watering-hole attacks to compromise victims, targets organizations of interest to the Vietnamese government for espionage purposes. Victims have included human rights organizations, research institutes and maritime construction firms in China, and media organizations. Also believed to have been responsible for disclosing confidential Filipino government documents. ",Espionage,High,Resolved
6/1/2015,,This threat actor targets government agencies and entities in the defense and energy sectors in Southeast Asia with an interest in issues related to tensions in the South China Sea.,,Medium,Investigating
4/28/2015,Also known as the Gamaredon Group.,A Russian-linked threat group known as Gamaredon uses custom-developed malware in attacks aimed at Ukraine. The group has been active since at least 2013.,Espionage,HIgh,Investigating
6/10/2015,Associated with Duqu. Believed to have been the tool used to compromise Kaspersky Labs.,"A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was conducting negotiations on Iran's nuclear program.",Espionage,Critical,Open
12/7/2015,Believed to use similar tools and infrastructure as OilRig,"This threat actor targets organizations in the aerospace, technology, telecommunications, and engineering sectors for the purpose of espionage.",Espionage,High,Resolved
6/23/2015,"Also known as UPS, Gothic Panda, Buckeye, and Boyusec","This threat actor targets and compromises entities in the defense, construction, technology, and transportation sectors. Up until 2015, it was primarily focused on U.S. and UK entities, but it shifted to Hong Kong–based targets afterward. The U.S. Department of Justice indicted three members of this threat actor group in November 2017 for compromising the networks of three U.S. companies.",Espionage,Low,Open
8/5/2015,"Also known as TG-3390, APT 27, and TEMP.Hippo. Believed to have been responsible for the compromise of a Mongolian data center.","This threat actor compromises web pages to lure targets for espionage purposes. It focuses on the aerospace, automotive, technology, and energy sectors, primarily in the United States and United Kingdom.",Espionage,Critical,Investigating
4/9/2015,Suspected to be the work of APT 28,"In May 2015, threat actors compromised French television network TV5 Monde, disrupting broadcasts for three hours and gaining access to the network’s social media accounts. A group allegedly allied with the self-declared Islamic State and calling itself the Cyber Caliphate initially claimed responsibility for the incident. However, later investigations revealed links to Russian hacking group APT 28.

TV5 Monde is an example of a “false flag” operation, whereby a threat actor tries to mask its identity by leaving clues or attributes that would cause the victim to pin the blame on someone else. The threat actors behind TV5 Monde were successful enough in their flagging to lead French authorities to believe the incident was a terrorist attack. It is unknown why Russia would have conducted a false flag operation in France disguising itself as the Islamic State. 

In October 2018, the UK government announced that this incident was the work of Russian military intelligence.",Defacement,High,Investigating
11/24/2015,Believed to be the work of Winnti Umbrella,"A threat actor used a tool called Bookworm to compromise government agencies in Thailand, for the purpose of espionage.",Espionage,High,Resolved
10/16/2015,The government of Uganda,"The government of Uganda, under the Yoweri Museveni administration, used FinFisher, an advanced spyware developed by Gamma Group, to quell political unrest that resulted from allegations of corruption and police brutality after the 2011 general election.",Espionage,Medium,Resolved
5/14/2015,Also known as Deputy Dog and Axiom. Believed to be associated with Winnti Umbrella,"This threat actor targets U.S. government entities, the defense industrial base, law firms, information technology companies, resource extraction companies, and nongovernmental organizations. Ethical hacking group Intrusion Truth doxed three members of this threat actor: two hackers plus the head of four Chinese companies who is also believed to be an officer of the Chinese Ministry of State Security (MSS). The hackers are believed to be operating as contractors for the Jinan bureau of the Chinese MSS, where they carry out on-demand hacking operations.",Espionage,HIgh,Investigating
11/9/2015,Possibly linked to Saffron Rose,"This threat actor targets defense contractors and academic institutions in Israel, European government agencies, and civil society actors. It seeks out material related to diplomacy, defense, security, journalism, and human rights for espionage purposes.",Espionage,Critical,Investigating
12/1/2015,,A threat actor compromised the networks of Australia's Bureau of Meteorology for espionage purposes.,Espionage,High,Open
6/1/2015,Linked to Blue Termite,A threat actor compromised the networks of the Japan Pension Service and gained access to the pension records of over 1.25 million individuals.,Espionage,Low,Resolved
2/16/2015,"Also known as Tilded Team, it is associated with Flame, Stuxnet, Regin, Gauss, and Duqu.","In 2015, Moscow-based Kaspersky Lab published a report on the Equation Group, a threat actor active since 2001 [PDF]. It was responsible for infecting approximately five hundred systems in at least forty-two countries. The malware used by Equation Group had the ability to reprogram hard drives and then self-destruct, which made the operations effectively invisible and indestructible. Targeted systems ranged from the private to the public sector, from energy departments to military operations to media outlets.

The tools and scope of the Equation Group suggest that it is one of the most sophisticated threat actors operating in cyberspace. Many believe that Equation Group is a state-sponsored entity, such as the U.S. National Security Agency or a joint effort between it and its Five Eyes allies.",Espionage,Critical,Open
6/4/2015,Suspected to be the work of the Dukes,A threat actor compromised a legacy unclassified network at the Department of Defense.,Espionage,High,Investigating
7/10/2015,Suspected to be the work of Deep Panda,"A threat actor compromised the networks of the U.S. Office of Personnel Management, exposing the data of at least 22.1 million people who have applied for a U.S. security clearance.",Espionage,High,Investigating
4/15/2015,Possibly uses the same infrastructure as Mirage,"This threat actor uses spear-phishing techniques to compromise diplomatic targets in Southeast Asia, India, and the United States. It also seems to have targeted the APT 30.",Espionage,Medium,Resolved
7/28/2015,Believed to be the work of APT 28,A threat actor compromised an unclassified network used by the U.S. Joint Chiefs of Staff for espionage purposes.,Espionage,HIgh,Resolved
7/29/2015,Suspected to be the work of Deep Panda,"A threat actor compromised the network of United Airlines for espionage purposes, gaining access to flight manifests.",Espionage,Critical,Investigating
3/13/2015,,A threat actor attempted to compromise Ukrainian officials in government and law enforcement for espionage purposes. Ukrainian intelligence claims this was done in support of Russian-backed military activities in eastern Ukraine.,Espionage,High,Investigating
10/5/2015,Believed to be the work of the same actors behind Dark Seoul and possibly linked to Onion Dog,A threat actor compromised networks associated with Seoul's subway system.,Espionage,Low,Open
3/27/2015,,"A threat actor launched a denial of service attack against GitHub to prevent access to internet content banned in China, such as the New York Times. The incident was the first in which threat actors, believed to be associated with the government of China, used a tool dubbed the Great Cannon.",Denial of service,Critical,Resolved
10/16/2015,,"A threat actor compromised the website of the Permanent Course of Arbitration for espionage purposes, intending to compromise visitors to the website.",Espionage,High,Open
4/7/2015,Suspected to be the work of the Dukes,Threat actors compromised unclassified White House networks using access from compromised networks at the State Department.,Espionage,High,Investigating
10/20/2015,,"A threat actor compromised government networks affiliated with members of the South Korean parliament. The threat actor also attempted to compromise the Foreign Ministry, Defense Ministry, and the Blue House.",Espionage,Medium,Investigating
8/20/2015,This threat actor is believed to have been responsible for the Japan Pension Service incident. It is also known as Emdivi and Cloudy Omega.,"This threat actor targets Japanese entities in the government, manufacturing, finance, space, education, food, and medical sectors for espionage purposes.",Espionage,HIgh,Resolved
10/22/2015,Possibly attributed to APT 28,"A threat actor attempted to compromise the networks of the Dutch Safety Board, the group charged with investigating the crash of Malaysia Airlines Flight 17, which crashed in Ukraine.",Espionage,Critical,Resolved
5/21/2015,Believed to be the work of Saffron Rose,A threat actor compromised the networks of several Saudi government ministries for the purposes of espionage and doxing.,Espionage,High,Investigating
11/24/2015,,A threat actor compromised social media accounts of junior State Department staff to launch spear-phishing campaigns for espionage purposes.,Espionage,Low,Investigating
7/28/2014,Also known as Spring Dragon and Eslie,"This threat actor compromises government and military targets in Hong Kong, Japan, Taiwan, Vietnam, the Philippines, and Indonesia for espionage purposes.",Espionage,Critical,Open
9/8/2014,Believed to be the work of APT 18,"Community Health Systems, a large hospital group in the United States, announced that its computer networks  were compromised, leading to the exfiltration of Social Security numbers and other personal information of approximately 4.5 million people to China.",Espionage,High,Resolved
7/31/2014,"Also known as Energetic Bear, Dragonfly, Group 24, and Koala Team. Possibly associated with Allanite and Dymalloy. Believed to be behind the targeting of critical infrastructure entities in the United States and Germany, prompting both countries to issue technical alerts","This threat actor targets companies in the education, energy, construction, information technology, and pharmaceutical sectors for the purposes of espionage. It uses malware tailored to target industrial control systems.",Espionage,High,Open
9/10/2014,"Uses similar tools as Moafee and Rancor, possibly indicating a link between the threat actors","This threat actor targets high-tech and manufacturing companies, primarily from Japan, for the purpose of acquiring trade secrets. In 2017, cybersecurity firms released evidence pointing to the threat actor expanding its targets to Russian and Tibetan interests.",Espionage,Medium,Investigating
9/17/2014,,"A threat actor successfully compromises the networks of contractors for U.S. Transportation Command (TRANSCOM), a military command assigned with moving U.S. military personnel and assets around the world. ",Espionage,HIgh,Investigating
8/7/2014,"Turla is also known as Snake, Venomous Bear, Uroburos, Group 88, Waterbug, and Turla Team. Estonian intelligence services associate this group with the Russian federal security service (FSB). Turla is associated with Agent.btz and believed to be behind the RUAG espionage incident, an attempted compromise of the Swiss defense ministry, the targeting of diplomatic missions in Eastern Europe, the targeting of South Korean actors prior to the meeting of U.S. President Donald J. Trump and North Korean leader Kim Jong-un, and the compromise of the German and Finnish foreign ministries. ","This threat actor targets governments, militaries, and research organizations for espionage purposes. ",Espionage,Critical,Resolved
9/10/2014,"Uses similar tools as DragonOK, possibly indicating a link between the two","This threat actor targets militaries and governments interested in the South China Sea, including the U.S. defense industrial base.",Espionage,High,Resolved
12/3/2014,Believed to be the work of the Lazarus Group,"Threat actors compromised the networks of Sony Pictures Entertainment, destroyed data, and publicly released employee emails. The United States attributed the incident to North Korea, which is believed to have staged the attack to prevent Sony from releasing the film The Interview, which depicts an assassination plot against North Korean leader Kim Jong-un.

The compromise of Sony Pictures was the first cyber incident to be formally condemned by a U.S. president. The incident also prompted the United States to sanction certain North Korean individuals and organizations, denying them access to U.S. financial institutions.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.",Doxing,Low,Investigating
9/24/2014,"Believed to be closely linked to, though distinct from, Winnti.","This threat actor compromises a range of actors of espionage purposes, namely government agencies in Asia and the West, circuit manufacturers, networking equipment manufacturers, internet companies, software vendors, journalists, nongovernmental organizations, law firms, telecommunication firms, venture capitalists, and academic institutions.",Espionage,Critical,Investigating
10/28/2014,"Also known as Pawn Storm, Hades, Fancy Bear, Sofacy, Tsar Team, Strontium, and Sednit. Estonian and British intelligence services associate this group with Russian military intelligence (GRU). The United States believes that GRU units 26165 and 74455 form a part of this threat actor. 

 ","This threat actor is linked to espionage campaigns, high-profile doxing efforts, and disruptive incidents that compromised targets believed to be of interest to the Russian government.

Suspected to be behind the Democratic National Committee compromise, the 2015 compromise of networks of the German Bundestag, the 2015 TV5 Monde incident, the UK TV station incident, the hacking of a Ukrainian military mobile app, the compromise of the World Anti-Doping Agency, the compromise of numerous sports federations, the attempted compromise of Bellingcat, the Bad Rabbit incident, the targeting of European foreign ministries and defense agencies, the targeting of campaigns for the 2018 U.S. midterm elections, the targeting of the office of Senator Claire McCaskill, the targeting of the OPCW, and the compromise of U.S. Anti-Doping Agency, the Court of Arbitration for Sport, the Canadian Centre for Ethics in Sport, FIFA, Westinghouse, the targeting of U.S. political campaigns, advocacy groups, and political consultancies, the targeting of Azerbaijani government networks, and the penetration of an unnamed U.S. federal agency. ",,High,Open
11/3/2014,"Also known as Voodoo Bear, and Electrum. Believed to be responsible for the 2008 DDoS attacks in Georgia and the 2015 Ukraine power grid outage. Code used by this threat actor was also found in the alleged Russian compromise of networking equipment. There is possible overlap between Black Energy and the threat actor behind the compromise of the 2018 Winter Olympics.","This threat actor targets industrial control systems, using a tool called Black Energy, associated with electricity and power generation for espionage, denial of service, and data destruction purposes. Some believe that the threat actor is linked to the 2015 compromise of the Ukrainian electrical grid and a distributed denial of service prior to the Russian invasion of Georgia. 

In 2018, Germany’s domestic intelligence agency released a technical alert about this threat actor, and the United Kingdom attributed the actor to Russian military intelligence.

In May 2020, the NSA publicly accused the group of targeting email servers worldwide.",Espionage,High,Resolved
11/10/2014,"Also known as Tapaoux, Pioneer, Karba, Nemim, DUBNIUM, Fallout Team, Karba, and Luder.","This threat actor targets private sector entities, law enforcement organizations, and militaries, primarily in East Asia, for espionage purposes.",Espionage,Medium,Open
5/28/2014,"Also known as Charming Kitten, APT 35, Newscaster, Ajax Security Team, Phosphorus, and Group 83. Possibly linked to Rocket Kitten","This threat actor uses watering hole attacks and fake profiles to lure targets from the U.S. government for espionage purposes. Also believed to target scholars who study Iran, human rights organizations, and the media. At least one cybersecurity company claims that Behzah Mesri, who was indicted by the U.S. Department of Justice for compromising the networks of HBO, was a member of this threat actor group",Espionage,HIgh,Investigating
9/2/2014,Also known as Dynamite Panda and TG-0416,"This threat actor targets human rights groups, government entities, and companies in the pharmaceutical, medical, industrial, and information technology sectors.",Espionage,Critical,Investigating
12/2/2014,Also known as Cutting Kitten and Group 41,"This threat actor targets governments and private sector entities for espionage and sabotage purposes. It is believed to be responsible for compromising U.S. Navy computers at the Navy Marine Corps Intranet in San Diego, the U.S. energy company Calpine Corporation, Saudi Aramco, Pemex, Qatar Airways, and Korean Air (http://www.reuters.com/article/2014/12/02/us-cybersecurity-iran-idUSKCN…)",Espionage,High,Resolved
12/9/2014,,A threat actor attempted to compromise email accounts in Ukraine for espionage purposes.,Espionage,Low,Resolved
12/10/2014,Believed to be the same threat actor as Red October,This threat actor targets governments and diplomatic organizations for espionage purposes.,Espionage,Critical,Investigating
12/12/2014,,Threat actors launched a denial of service attack and wiped data from the computer networks at the Sands Casino in Las Vegas.,Data destruction,High,Investigating
5/19/2014,,"In May 2014, the U.S. Department of Justice indicted five members of the People’s Liberation Army (PLA) Unit 61398, a Chinese army unit dedicated to cyber espionage. According to the Department of Justice, Unit 61398 compromised U.S. corporate networks for trade information potentially useful to Chinese state-owned enterprises.

The PLA indictments were the most direct confrontation to date between Washington and Beijing regarding Chinese government sponsorship of hacking groups. It was the first time that the U.S. Department of Justice indicted state-sponsored actors, and was part of a broader effort by the United States to halt China’s cyber industrial espionage programs and define an international norm against cyber espionage for commercial gain.",Espionage,High,Open
12/22/2014,,A threat actor compromised an unnamed steel mill by accessing the plant's business network and working its way into production networks and the systems controlling plant equipment. The compromise causes one of plant's furnaces to shut down.,Sabotage,Medium,Resolved
7/12/2014,,"Su Bin, a Chinese national, pleaded guilty to hacking Boeing and other U.S. defense contractors for the purpose of passing confidential information to the People's Liberation Army.",Espionage,HIgh,Open
8/20/2014,,"This threat actor targets military, government entities, and telecommunications providers, primarily in Latin America, for the purpose of espionage.",Espionage,Critical,Investigating
7/29/2014,,A threat actor compromised the networks of Canada's National Research Council and exfiltrated data for espionage purposes. The government of Canada confirmed that Chinese state-sponsored actors were responsible.,Espionage,High,Investigating
9/3/2014,"Also known as IXESHE, Numbered Panda, and Group 22","This threat actor targets organizations in Japan, Taiwan, and elsewhere in East Asia—including electronics manufacturers and telecommunications companies—for espionage purposes.",Espionage,Low,Resolved
8/6/2014,Related to the compromise at the Office of Personnel Management,The contractor responsible for security clearance at the U.S. Department of Homeland Security had their networks hacked and employee information was compromised.,Espionage,Critical,Resolved
2/10/2014,Also known as Mask and Ugly Face,"This threat actor targets governments, diplomatic missions, private companies in the energy sector, and academics for espionage purposes.",Espionage,High,Investigating
9/17/2014,,"Threat actor targeted pro-democracy activists by enticing them to download and install malware-laden Android apps, allowing the threat actors to remotely track and record conversations on compromised phones.",Espionage,High,Investigating
3/21/2014,Animal Farm,"A threat actor, confirmed to be the French government, that targets governments, companies, media organizations, military contractors, and humanitarian organizations.",Espionage,Medium,Open
10/21/2014,,A threat actor compromised Apple's iCloud service in China and intercepted user names and passwords of targeted iCloud users.,Espionage,HIgh,Resolved
5/12/2014,"Also known as Flying Kitten, Sayad, Ajax Security Team, and Group 26",This threat actor is focused on espionage and targets companies within the U.S. defense industrial base and Iranians who use anticensorship technology.,Espionage,Critical,Open
10/28/2014,Believed to be the work of the Dukes,A threat actor compromised the unclassified network of the State Department for espionage purposes.,Espionage,High,Investigating
11/9/2014,,A threat actor compromised the networks of the U.S. Postal Service and gained access to employee data.,Espionage,Low,Investigating
11/24/2014,Believed to be the work of the Equation Group,"A threat actor, using a tool dubbed Regin, compromised telecommunications networks and collected information about how those networks operate to facilitate espionage on other targets such as governments, financial institutions, and academics.",Espionage,Critical,Resolved
6/10/2014,"Also known as APT 2, PLA Unit 61486, and TG-6952","This threat actor targets firms in the technology (communications, space, aerospace), research, defense, and government sectors in the United States for espionage purposes. The tools and infrastructure it uses overlap with PLA Unit 61398.",Espionage,High,Resolved
11/12/2014,,Threat actors accessed weather network data,Espionage,High,Investigating
5/19/2013,Believed to be responsible for the attempted compromise of U.S. think tanks,"This threat actor targets multiple entities, primarily around India but also in the United States, the Middle East, and China.",Espionage,Medium,Investigating
11/1/2013,Believed to be the work of Turla,A threat actor compromised Finland’s Ministry of Foreign Affairs for espionage purposes. The threat actor specifically targeted communications between Finland and the European Union.,Espionage,HIgh,Open
